,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
16487,22-349,1,0,2016-12-22,4,1,1,.143,7,0,.000,2,.111,9,0,,0,,L,-3.0,1,35,BOS,2,1,Glenn Robinson,G-F,2,1,IND,3,6
16488,22-355,2,0,2016-12-28,1,1,1,.250,4,0,,0,.250,4,0,,0,@,L,1.9,1,20,WAS,0,1,Glenn Robinson,G-F,2,1,IND,0,1
16489,23-010,2,0,2017-01-18,1,1,1,.500,2,0,.000,2,.250,4,0,,0,@,W,1.3,1,19,SAC,0,0,Glenn Robinson,G-F,2,1,IND,1,1
16490,23-031,0,0,2017-02-08,1,1,1,.333,3,0,,0,.333,3,0,,0,,L,1.9,0,15,CLE,1,1,Glenn Robinson,G-F,2,1,IND,0,2
16491,23-034,1,0,2017-02-11,1,1,1,.250,4,0,,0,.250,4,0,,0,,L,2.9,0,15,MIL,3,2,Glenn Robinson,G-F,2,1,IND,0,4
16492,25-258,1,0,2016-11-30,3,1,1,.500,2,0,,0,.500,2,0,,0,@,W,5.3,0,9,CHI,3,1,Thomas Robinson,F,2,1,LAL,0,6
16493,25-265,1,0,2016-12-07,3,0,0,.000,1,0,,0,.000,1,2,.500,4,@,L,2.0,0,15,HOU,1,2,Thomas Robinson,F,2,1,LAL,1,4
16494,25-303,0,0,2017-01-14,3,1,1,.250,4,0,,0,.250,4,0,.000,2,@,L,-0.7,0,9,LAC,0,1,Thomas Robinson,F,2,0,LAL,0,3
16495,25-311,1,0,2017-01-22,1,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,-0.1,0,6,DAL,0,2,Thomas Robinson,F,2,0,LAL,2,1
16496,30-150,5,0,2016-11-09,1,1,1,.143,7,0,.000,7,.071,14,0,,0,@,L,-2.3,1,31,IND,1,1,Sergio Rodriguez,G,2,3,PHI,2,2
16497,30-155,6,1,2016-11-14,2,1,1,.143,7,0,.000,1,.125,8,0,,0,@,L,2.3,1,27,HOU,0,0,Sergio Rodriguez,G,2,1,PHI,1,2
16498,30-213,4,0,2017-01-11,0,1,1,.250,4,0,.000,3,.143,7,0,,0,,W,-2.0,0,14,NYK,1,0,Sergio Rodriguez,G,2,0,PHI,3,1
16499,30-241,1,0,2017-02-08,1,1,1,.500,2,0,.000,5,.143,7,0,,0,,L,-1.3,0,17,SAS,0,2,Sergio Rodriguez,G,2,1,PHI,0,1
16500,30-285,2,0,2016-12-03,1,1,1,.333,3,0,.000,1,.250,4,0,,0,@,L,-2.8,1,24,DAL,1,2,Rajon Rondo,G,2,1,CHI,5,2
16501,30-308,5,0,2016-12-26,5,1,1,.333,3,0,.000,3,.167,6,0,,0,,W,2.8,1,24,IND,4,3,Rajon Rondo,G,2,0,CHI,2,9
16502,30-333,3,0,2017-01-20,1,1,1,.250,4,0,.000,1,.200,5,0,,0,@,L,2.3,0,18,ATL,2,1,Rajon Rondo,G,2,3,CHI,3,3
16503,28-070,0,0,2016-12-13,1,0,0,.000,5,0,.000,1,.000,6,2,1.000,2,@,L,-1.9,1,10,PHO,0,0,Derrick Rose,G,2,0,NYK,0,1
16504,25-340,1,0,2017-01-10,0,1,1,1.000,1,0,.000,3,.250,4,0,,0,,W,2.3,0,21,BOS,0,0,Terrence Ross,F-G,2,3,TOR,1,0
16505,22-260,2,1,2016-12-02,2,1,1,.200,5,0,.000,2,.143,7,0,,0,,W,1.9,0,16,SAC,1,0,Terry Rozier,G,2,2,BOS,1,3
16507,22-274,1,0,2016-12-16,5,1,1,.333,3,0,,0,.333,3,0,,0,,W,-0.3,0,16,CHO,0,2,Terry Rozier,G,2,0,BOS,2,5
16508,22-288,2,0,2016-12-30,5,1,1,1.000,1,0,,0,1.000,1,0,.000,1,,W,2.4,0,21,MIA,0,2,Terry Rozier,G,2,1,BOS,2,5
16509,22-328,1,0,2017-02-08,0,0,0,.000,3,0,.000,3,.000,6,2,1.000,2,@,L,-0.8,0,13,SAC,1,0,Terry Rozier,G,2,0,BOS,0,1
16510,22-333,2,0,2017-02-13,4,1,1,.333,3,0,,0,.333,3,0,,0,@,W,1.5,0,19,DAL,0,1,Terry Rozier,G,2,0,BOS,1,4
16511,22-335,2,0,2017-02-15,1,1,1,.200,5,0,.000,1,.167,6,0,,0,,W,-2.5,0,19,PHI,0,1,Terry Rozier,G,2,0,BOS,2,1
16512,26-029,7,0,2016-11-19,2,0,0,.000,3,0,.000,2,.000,5,2,.500,4,@,L,2.6,1,34,MEM,2,0,Ricky Rubio,G,2,0,MIN,2,4
16513,20-351,5,0,2017-02-08,1,1,1,.500,2,0,,0,.500,2,0,,0,@,L,2.8,1,23,DET,0,0,D'Angelo Russell,G,2,1,LAL,3,1
16514,20-240,3,2,2016-12-29,2,1,1,.333,3,0,.000,2,.200,5,0,,0,@,L,0.1,1,21,MEM,1,4,Domantas Sabonis,F,2,0,OKC,2,3
16515,20-246,0,0,2017-01-04,2,1,1,.250,4,0,,0,.250,4,0,,0,@,L,-0.3,1,17,CHO,1,3,Domantas Sabonis,F,2,0,OKC,0,3
16516,20-274,0,0,2017-02-01,4,1,1,.125,8,0,.000,2,.100,10,0,,0,,L,-4.5,1,22,CHI,1,2,Domantas Sabonis,F,2,0,OKC,1,5
16517,20-276,0,0,2017-02-03,1,1,1,.500,2,0,.000,2,.250,4,0,,0,,W,-5.9,1,11,MEM,0,2,Domantas Sabonis,F,2,0,OKC,5,1
16518,20-278,0,2,2017-02-05,5,0,0,.000,5,0,.000,1,.000,6,2,1.000,2,,W,1.0,1,34,POR,1,1,Domantas Sabonis,F,2,0,OKC,0,6
16519,22-238,0,0,2016-12-02,0,1,1,.333,3,0,.000,2,.200,5,0,,0,,L,-3.1,0,16,ORL,0,0,Dario Saric,F,2,0,PHI,2,0
16520,22-250,0,0,2016-12-14,5,0,0,,0,0,.000,2,.000,2,2,1.000,2,,L,-0.2,0,13,TOR,1,5,Dario Saric,F,2,0,PHI,1,6
16521,22-256,3,0,2016-12-20,3,0,0,,0,0,.000,2,.000,2,2,1.000,2,,L,3.6,0,16,NOP,0,0,Dario Saric,F,2,1,PHI,1,3
16522,24-363,1,0,2016-10-27,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,3.1,0,4,ATL,1,0,Tomas Satoransky,G,2,0,WAS,0,1
16523,25-003,2,0,2016-11-02,2,1,1,.500,2,0,,0,.500,2,0,,0,,L,2.2,0,10,TOR,0,2,Tomas Satoransky,G,2,1,WAS,1,2
16524,25-008,2,0,2016-11-07,0,1,1,.500,2,0,.000,2,.250,4,0,,0,,L,2.7,0,13,HOU,1,0,Tomas Satoransky,G,2,1,WAS,0,1
16525,25-031,3,0,2016-11-30,1,1,1,.500,2,0,.000,1,.333,3,0,,0,@,L,1.9,0,12,OKC,0,2,Tomas Satoransky,G,2,0,WAS,0,1
16526,25-054,1,0,2016-12-23,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,0.4,0,8,MIL,0,0,Tomas Satoransky,G,2,0,WAS,2,0
16528,25-080,3,0,2017-01-18,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,W,4.1,0,14,MEM,2,1,Tomas Satoransky,G,2,0,WAS,1,3
16529,25-086,1,0,2017-01-24,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,W,2.7,0,14,BOS,0,0,Tomas Satoransky,G,2,0,WAS,0,1
16530,25-101,3,2,2017-02-08,2,1,1,.500,2,0,,0,.500,2,0,,0,@,W,4.7,0,15,BRK,0,1,Tomas Satoransky,G,2,1,WAS,1,2
16531,36-186,1,0,2016-11-02,3,1,1,1.000,1,0,.000,1,.500,2,0,,0,,W,1.4,0,14,DET,0,3,Luis Scola,F,2,1,BRK,1,3
16532,36-213,0,0,2016-11-29,1,1,1,.500,2,0,,0,.500,2,0,.000,2,,W,0.1,0,6,LAC,0,1,Luis Scola,F,2,0,BRK,0,1
16533,36-215,0,1,2016-12-01,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,4.4,0,7,MIL,3,1,Luis Scola,F,2,0,BRK,0,4
16534,36-226,0,0,2016-12-12,0,1,1,.333,3,0,,0,.333,3,0,,0,@,L,0.3,0,5,HOU,0,0,Luis Scola,F,2,0,BRK,0,0
16535,36-228,3,1,2016-12-14,2,1,1,.250,4,0,,0,.250,4,0,,0,,W,5.1,0,12,LAL,3,0,Luis Scola,F,2,0,BRK,0,5
16536,36-236,0,0,2016-12-22,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,1.0,0,3,GSW,0,0,Luis Scola,F,2,0,BRK,1,1
16537,28-139,3,0,2016-12-02,2,1,1,.500,2,0,.000,2,.250,4,0,,0,,L,1.6,0,12,DET,1,1,Mike Scott,F,2,0,ATL,1,3
16538,28-203,0,0,2017-02-04,0,1,1,.333,3,0,,0,.333,3,0,,0,,W,0.6,0,5,ORL,1,1,Mike Scott,F,2,0,ATL,0,1
16539,28-205,1,0,2017-02-06,2,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,3.7,0,12,UTA,1,0,Mike Scott,F,2,0,ATL,0,3
16540,28-214,1,0,2017-02-15,0,1,1,.500,2,0,,0,.500,2,0,,0,@,L,0.7,0,12,LAC,0,0,Mike Scott,F,2,0,ATL,1,0
16541,32-209,1,0,2016-11-27,4,1,1,.500,2,0,.000,1,.333,3,0,,0,@,L,2.5,0,20,LAL,1,1,Thabo Sefolosha,G-F,2,0,ATL,0,5
16542,32-270,1,2,2017-01-27,2,0,0,.000,1,0,.000,1,.000,2,2,1.000,2,,L,1.5,1,16,WAS,0,2,Thabo Sefolosha,G-F,2,0,ATL,1,2
16543,26-336,0,0,2016-11-07,3,1,1,.333,3,0,,0,.333,3,0,,0,@,L,1.2,0,8,CHO,0,0,Kevin Seraphin,F,2,0,IND,0,3
16544,27-010,0,0,2016-12-17,1,1,1,.500,2,0,,0,.500,2,0,,0,@,W,-0.1,0,3,DET,0,1,Kevin Seraphin,F,2,0,IND,1,1
16545,27-019,1,1,2016-12-26,2,1,1,.333,3,0,,0,.333,3,0,,0,@,L,-0.3,0,9,CHI,0,4,Kevin Seraphin,F,2,0,IND,1,2
16546,27-040,0,0,2017-01-16,6,1,1,.500,2,0,,0,.500,2,0,,0,,W,2.0,0,11,NOP,0,2,Kevin Seraphin,F,2,0,IND,0,6
16547,27-044,1,0,2017-01-20,1,1,1,.250,4,0,,0,.250,4,0,,0,@,L,-1.2,0,11,LAL,0,2,Kevin Seraphin,F,2,0,IND,1,1
16549,27-047,0,0,2017-01-23,1,1,1,.500,2,0,,0,.500,2,0,,0,,L,1.3,0,5,NYK,0,0,Kevin Seraphin,F,2,0,IND,0,1
16550,27-061,0,2,2017-02-06,2,1,1,.500,2,0,,0,.500,2,0,,0,,W,2.6,0,15,OKC,0,1,Kevin Seraphin,F,2,0,IND,0,2
16551,30-218,3,0,2016-11-15,1,0,0,,0,0,.000,2,.000,2,2,1.000,2,@,W,1.0,0,13,MIN,0,0,Ramon Sessions,G,2,1,CHO,3,1
16552,30-253,4,0,2016-12-20,0,1,1,.500,2,0,,0,.500,2,0,,0,,W,3.4,0,7,LAL,0,1,Ramon Sessions,G,2,0,CHO,0,0
16553,26-121,3,1,2016-10-25,1,1,1,.500,2,0,.000,1,.333,3,0,,0,,W,1.3,0,14,NYK,1,2,Iman Shumpert,G,2,0,CLE,2,2
16554,26-143,2,0,2016-11-16,2,1,1,.200,5,0,.000,1,.167,6,0,,0,@,L,-2.9,1,28,IND,1,2,Iman Shumpert,G,2,0,CLE,3,3
16555,26-156,0,0,2016-11-29,0,1,1,1.000,1,0,.000,2,.333,3,0,,0,@,L,1.7,0,17,MIL,2,0,Iman Shumpert,G,2,1,CLE,1,2
16556,26-162,1,0,2016-12-05,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,W,0.4,0,20,TOR,0,5,Iman Shumpert,G,2,0,CLE,0,0
16557,26-198,0,0,2017-01-10,1,1,1,.333,3,0,.000,2,.200,5,0,,0,@,L,-1.3,0,21,UTA,1,3,Iman Shumpert,G,2,0,CLE,0,2
16558,22-270,0,0,2016-10-31,3,1,1,.250,4,0,,0,.250,4,0,,0,,W,0.0,1,15,DEN,1,3,Pascal Siakam,F,2,0,TOR,0,4
16559,22-291,0,0,2016-11-21,1,1,1,.500,2,0,,0,.500,2,0,,0,@,L,1.3,1,13,LAC,0,5,Pascal Siakam,F,2,2,TOR,0,1
16560,22-293,1,0,2016-11-23,1,1,1,.333,3,0,,0,.333,3,0,,0,@,W,0.9,1,21,HOU,0,1,Pascal Siakam,F,2,0,TOR,0,1
16561,22-309,1,0,2016-12-09,3,1,1,.333,3,0,,0,.333,3,0,,0,@,W,2.2,1,14,BOS,1,1,Pascal Siakam,F,2,0,TOR,0,4
16562,22-334,0,1,2017-01-03,1,1,1,.250,4,0,,0,.250,4,0,,0,@,L,0.5,1,26,SAS,1,2,Pascal Siakam,F,2,0,TOR,0,2
16563,22-349,0,1,2017-01-18,1,1,1,.500,2,0,,0,.500,2,0,,0,@,L,1.0,1,11,PHI,0,0,Pascal Siakam,F,2,0,TOR,1,1
16564,22-351,1,1,2017-01-20,2,1,1,.500,2,0,,0,.500,2,0,,0,@,L,6.0,0,19,CHO,2,1,Pascal Siakam,F,2,2,TOR,0,4
16565,23-002,0,0,2017-02-06,4,1,1,.250,4,0,,0,.250,4,0,,0,,W,0.6,1,16,LAC,0,3,Pascal Siakam,F,2,1,TOR,0,4
16566,23-010,0,0,2017-02-14,0,1,1,.500,2,0,,0,.500,2,0,,0,@,L,0.6,0,5,CHI,0,1,Pascal Siakam,F,2,0,TOR,0,0
16567,27-048,3,0,2016-11-01,2,1,1,.250,4,0,.000,3,.143,7,0,,0,,L,-0.2,1,29,UTA,0,1,Jonathon Simmons,G-F,2,0,SAS,0,2
16568,27-063,2,0,2016-11-16,0,0,0,,0,0,,0,,0,2,1.000,2,@,W,2.6,0,18,SAC,0,2,Jonathon Simmons,G-F,2,0,SAS,0,0
16570,27-085,1,0,2016-12-08,2,1,1,.250,4,0,.000,3,.143,7,0,,0,@,L,1.0,0,14,CHI,0,2,Jonathon Simmons,G-F,2,3,SAS,0,2
16571,27-129,1,0,2017-01-21,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,W,2.0,0,8,CLE,0,1,Jonathon Simmons,G-F,2,0,SAS,0,0
16572,27-147,1,0,2017-02-08,2,1,1,.333,3,0,,0,.333,3,0,,0,@,W,-1.2,0,11,PHI,0,2,Jonathon Simmons,G-F,2,0,SAS,2,2
16573,28-182,0,1,2016-11-02,2,1,1,1.000,1,0,.000,1,.500,2,0,,0,@,W,2.3,0,5,LAC,0,0,Kyle Singler,F,2,0,OKC,0,2
16574,28-221,0,0,2016-12-11,0,1,1,.500,2,0,,0,.500,2,0,,0,,W,1.0,0,7,BOS,0,0,Kyle Singler,F,2,0,OKC,0,0
16575,28-224,0,0,2016-12-14,2,1,1,.500,2,0,,0,.500,2,0,,0,@,L,0.6,0,16,UTA,0,0,Kyle Singler,F,2,0,OKC,1,2
16576,28-229,0,1,2016-12-19,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,1.7,0,12,ATL,0,0,Kyle Singler,F,2,0,OKC,1,1
16577,28-239,0,0,2016-12-29,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,1.3,0,6,MEM,0,1,Kyle Singler,F,2,0,OKC,0,0
16578,28-257,0,0,2017-01-16,1,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,2.0,0,7,LAC,0,0,Kyle Singler,F,2,0,OKC,0,1
16579,28-270,0,0,2017-01-29,1,1,1,.333,3,0,.000,2,.200,5,0,,0,@,L,-1.5,0,16,CLE,1,1,Kyle Singler,F,2,0,OKC,1,2
16580,22-258,3,2,2016-11-19,5,1,1,.250,4,0,.000,5,.111,9,0,,0,@,W,2.1,0,31,DET,2,1,Marcus Smart,G,2,0,BOS,0,7
16581,22-316,4,1,2017-01-16,4,1,1,.250,4,0,.000,1,.200,5,0,,0,,W,4.3,0,27,CHO,1,0,Marcus Smart,G,2,2,BOS,2,5
16582,28-125,3,0,2016-11-07,1,1,1,.111,9,0,,0,.111,9,0,,0,@,L,-4.7,1,24,LAC,0,3,Ish Smith,G,2,0,DET,2,1
16583,28-155,2,2,2016-12-07,3,1,1,.143,7,0,,0,.143,7,0,,0,@,L,-1.2,0,22,CHO,0,1,Ish Smith,G,2,0,DET,2,3
16584,28-176,4,0,2016-12-28,0,1,1,.250,4,0,.000,1,.200,5,0,,0,,L,-1.7,0,21,MIL,0,1,Ish Smith,G,2,1,DET,4,0
16585,28-184,2,2,2017-01-05,5,1,1,.200,5,0,.000,1,.167,6,0,,0,,W,1.7,0,19,CHO,0,2,Ish Smith,G,2,0,DET,0,5
16586,28-202,3,0,2017-01-23,2,1,1,.500,2,0,,0,.500,2,0,,0,,L,2.3,0,13,SAC,0,1,Ish Smith,G,2,1,DET,2,2
16587,30-239,2,0,2016-10-27,4,1,1,.500,2,0,,0,.500,2,0,,0,@,L,-0.5,0,9,ATL,1,2,Jason Smith,F-C,2,0,WAS,4,5
16588,30-242,0,0,2016-10-30,0,1,1,1.000,1,0,,0,1.000,1,0,,0,@,L,0.3,0,5,MEM,0,1,Jason Smith,F-C,2,0,WAS,1,0
16589,30-252,2,0,2016-11-09,3,1,1,.333,3,0,,0,.333,3,0,,0,,W,2.8,0,14,BOS,0,2,Jason Smith,F-C,2,1,WAS,0,3
16591,30-259,0,0,2016-11-16,0,1,1,.500,2,0,,0,.500,2,0,,0,@,L,0.6,0,3,PHI,0,1,Jason Smith,F-C,2,0,WAS,0,0
16592,30-264,0,0,2016-11-21,1,1,1,.333,3,0,,0,.333,3,0,,0,,W,-1.2,0,7,PHO,0,2,Jason Smith,F-C,2,0,WAS,1,1
16593,30-273,0,0,2016-11-30,0,1,1,.250,4,0,,0,.250,4,0,,0,@,L,-0.5,0,11,OKC,1,2,Jason Smith,F-C,2,0,WAS,0,1
16594,30-278,1,1,2016-12-05,1,1,1,.500,2,0,,0,.500,2,0,,0,@,W,2.9,0,8,BRK,0,2,Jason Smith,F-C,2,1,WAS,0,1
16595,30-281,0,0,2016-12-08,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,W,-0.2,0,5,DEN,0,3,Jason Smith,F-C,2,0,WAS,1,1
16596,30-331,0,2,2017-01-27,3,1,1,.500,2,0,,0,.500,2,0,.000,1,@,W,-0.7,0,14,ATL,0,4,Jason Smith,F-C,2,1,WAS,3,3
16597,30-335,1,3,2017-01-31,3,1,1,1.000,1,0,.000,1,.500,2,0,,0,,W,5.7,0,15,NYK,2,1,Jason Smith,F-C,2,0,WAS,0,5
16598,31-087,0,0,2016-12-05,0,1,1,1.000,1,0,.000,1,.500,2,0,,0,@,W,1.0,1,10,TOR,0,0,J.R. Smith,G-F,2,1,CLE,1,0
16599,25-030,2,0,2016-12-10,6,1,1,.500,2,0,.000,4,.167,6,0,,0,@,L,-0.4,1,33,WAS,0,2,Tony Snell,G-F,2,0,MIL,1,6
16600,25-071,1,0,2017-01-20,1,1,1,1.000,1,0,.000,2,.333,3,0,,0,@,L,1.9,1,24,ORL,0,1,Tony Snell,G-F,2,1,MIL,0,1
16601,29-115,0,0,2016-11-27,6,1,1,.250,4,0,.000,2,.167,6,0,,0,@,L,-0.7,0,17,IND,1,1,Marreese Speights,C-F,2,1,LAC,2,7
16602,23-025,1,0,2016-11-01,0,1,1,.250,4,0,.000,2,.167,6,0,,0,,L,-2.3,0,22,ORL,0,3,Nik Stauskas,G,2,0,PHI,0,0
16603,23-068,1,0,2016-12-14,0,0,0,.000,1,0,.000,2,.000,3,2,1.000,2,,L,-0.2,0,18,TOR,0,2,Nik Stauskas,G,2,0,PHI,0,0
16604,23-099,3,0,2017-01-14,2,1,1,.500,2,0,.000,7,.111,9,0,,0,@,L,-4.0,1,29,WAS,0,2,Nik Stauskas,G,2,0,PHI,2,2
16605,23-105,3,1,2017-01-20,2,1,1,.333,3,0,,0,.333,3,0,,0,,W,2.9,1,22,POR,0,2,Nik Stauskas,G,2,0,PHI,0,2
16606,26-054,4,0,2016-10-29,0,1,1,.500,2,0,.000,2,.250,4,0,,0,@,L,1.2,0,18,SAS,0,3,Lance Stephenson,G-F,2,0,NOP,0,0
16607,26-057,3,0,2016-11-01,3,1,1,.333,3,0,,0,.333,3,0,,0,,L,0.9,0,15,MIL,0,1,Lance Stephenson,G-F,2,0,NOP,2,3
16608,22-308,2,0,2016-11-10,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,4.3,0,6,GSW,1,2,Jarnell Stokes,F-C,2,1,DEN,0,2
16609,30-211,0,0,2016-11-18,1,1,1,.250,4,0,,0,.250,4,0,,0,,L,-4.9,0,13,PHO,0,2,Rodney Stuckey,G,2,0,IND,4,1
16610,30-249,0,0,2016-12-26,0,1,1,.500,2,0,,0,.500,2,0,,0,@,L,1.0,0,6,CHI,0,0,Rodney Stuckey,G,2,0,IND,0,0
16612,30-300,0,0,2017-02-15,0,1,1,.500,2,0,,0,.500,2,0,,0,@,L,-0.2,0,5,CLE,0,3,Rodney Stuckey,G,2,0,IND,0,0
16613,24-221,0,0,2016-10-29,1,1,1,1.000,1,0,,0,1.000,1,0,.000,2,@,W,1.2,0,4,PHI,0,0,Walter Tavares,C,2,0,ATL,0,1
16614,28-246,6,1,2017-02-11,3,1,1,.500,2,0,,0,.500,2,0,,0,,L,6.4,1,32,MIL,0,1,Jeff Teague,G,2,1,IND,1,3
16615,31-042,0,1,2016-10-30,1,1,1,.500,2,0,.000,1,.333,3,0,,0,@,L,1.6,0,16,DET,1,1,Mirza Teletovic,F,2,0,MIL,0,2
16616,31-124,0,0,2017-01-20,1,1,1,1.000,1,0,.000,2,.333,3,0,,0,@,L,-1.6,0,15,ORL,0,3,Mirza Teletovic,F,2,0,MIL,1,1
16617,31-127,0,0,2017-01-23,2,1,1,1.000,1,0,.000,3,.250,4,0,,0,,W,-0.2,0,18,HOU,0,1,Mirza Teletovic,F,2,1,MIL,1,2
16618,30-177,0,2,2016-11-01,2,1,1,.250,4,0,.000,1,.200,5,0,,0,@,L,0.5,0,30,MIA,2,2,Garrett Temple,G,2,0,SAC,1,4
16619,30-186,1,0,2016-11-10,1,0,0,.000,3,0,,0,.000,3,2,1.000,2,,L,2.2,0,17,LAL,1,1,Garrett Temple,G,2,1,SAC,0,2
16620,30-264,3,0,2017-01-27,0,0,0,.000,3,0,.000,1,.000,4,2,1.000,2,@,L,-2.3,1,33,IND,0,4,Garrett Temple,G,2,2,SAC,4,0
16621,39-088,0,0,2016-12-12,0,1,1,.500,2,0,.000,3,.200,5,0,,0,@,L,-1.9,0,9,TOR,0,2,Jason Terry,G,2,0,MIL,0,0
16622,39-096,1,0,2016-12-20,1,1,1,.500,2,0,.000,3,.200,5,0,,0,,L,0.6,0,12,CLE,1,0,Jason Terry,G,2,0,MIL,0,2
16623,39-127,0,1,2017-01-20,0,1,1,.500,2,0,.000,1,.333,3,0,,0,@,L,1.0,0,12,ORL,0,0,Jason Terry,G,2,0,MIL,0,0
16624,39-132,1,0,2017-01-25,0,1,1,1.000,1,0,,0,1.000,1,0,,0,,L,-1.8,0,10,PHI,0,3,Jason Terry,G,2,0,MIL,3,0
16625,39-139,3,1,2017-02-01,2,1,1,1.000,1,0,.000,2,.333,3,0,,0,@,L,4.3,0,17,UTA,0,1,Jason Terry,G,2,1,MIL,0,2
16626,28-184,1,0,2016-10-25,1,1,1,.250,4,0,,0,.250,4,0,,0,@,L,0.8,0,17,CLE,0,2,Lance Thomas,F,2,2,NYK,1,1
16627,28-191,0,0,2016-11-01,4,1,1,.167,6,0,,0,.167,6,0,,0,@,L,-3.4,0,26,DET,0,2,Lance Thomas,F,2,0,NYK,2,4
16628,28-240,0,0,2016-12-20,1,1,1,1.000,1,0,,0,1.000,1,0,,0,,W,1.6,0,6,IND,0,1,Lance Thomas,F,2,0,NYK,0,1
16629,28-294,0,0,2017-02-12,2,1,1,.500,2,0,,0,.500,2,0,,0,,W,-0.4,0,17,SAS,0,5,Lance Thomas,F,2,0,NYK,0,2
16630,25-218,0,0,2016-11-07,2,1,1,.500,2,0,.000,2,.250,4,0,,0,,L,-0.2,0,18,UTA,0,1,Hollis Thompson,G-F,2,0,PHI,0,2
16631,25-239,1,0,2016-11-28,1,1,1,.500,2,0,.000,1,.333,3,0,,0,@,L,1.6,0,11,TOR,1,1,Hollis Thompson,G-F,2,0,PHI,0,2
16633,25-243,1,0,2016-12-02,1,1,1,.333,3,0,.000,4,.143,7,0,,0,,L,-0.6,0,25,ORL,1,2,Hollis Thompson,G-F,2,1,PHI,0,2
16634,25-230,1,1,2016-10-29,8,1,1,.250,4,0,,0,.250,4,0,.000,2,,W,6.0,1,27,ORL,4,1,Tristan Thompson,F-C,2,1,CLE,0,12
16635,25-243,1,3,2016-11-11,3,1,1,.250,4,0,,0,.250,4,0,,0,@,W,4.9,1,23,WAS,4,3,Tristan Thompson,F-C,2,1,CLE,1,7
16636,25-248,3,1,2016-11-16,9,1,1,.500,2,0,,0,.500,2,0,.000,2,@,L,5.8,1,28,IND,3,5,Tristan Thompson,F-C,2,0,CLE,0,12
16637,25-271,0,1,2016-12-09,5,1,1,.500,2,0,,0,.500,2,0,,0,,W,3.1,1,28,MIA,3,3,Tristan Thompson,F-C,2,0,CLE,1,8
16638,25-295,0,1,2017-01-02,6,1,1,.500,2,0,,0,.500,2,0,,0,,W,4.2,1,28,NOP,3,1,Tristan Thompson,F-C,2,0,CLE,1,9
16639,25-297,0,0,2017-01-04,2,1,1,.200,5,0,,0,.200,5,0,,0,,L,3.6,1,33,CHI,9,3,Tristan Thompson,F-C,2,2,CLE,3,11
16640,25-312,1,2,2017-01-19,6,1,1,.167,6,0,,0,.167,6,0,.000,2,,W,-0.5,1,20,PHO,0,2,Tristan Thompson,F-C,2,0,CLE,1,6
16641,25-316,0,1,2017-01-23,5,1,1,.200,5,0,,0,.200,5,0,,0,@,L,1.3,1,28,NOP,2,3,Tristan Thompson,F-C,2,0,CLE,0,7
16642,29-159,1,0,2016-11-11,1,0,0,.000,3,0,.000,2,.000,5,2,1.000,2,,L,-0.9,1,21,CLE,0,1,Marcus Thornton,G,2,1,WAS,1,1
16643,29-173,1,0,2016-11-25,0,0,0,.000,2,0,.000,1,.000,3,2,1.000,2,@,W,1.6,0,8,ORL,0,0,Marcus Thornton,G,2,1,WAS,0,0
16644,29-174,2,0,2016-11-26,2,1,1,.500,2,0,.000,1,.333,3,0,,0,,L,3.7,0,15,SAS,2,0,Marcus Thornton,G,2,1,WAS,1,4
16645,29-188,2,0,2016-12-10,1,1,1,.333,3,0,,0,.333,3,0,,0,,W,2.7,0,11,MIL,1,0,Marcus Thornton,G,2,0,WAS,0,2
16646,29-190,1,0,2016-12-12,1,0,0,.000,2,0,.000,1,.000,3,2,1.000,2,@,L,0.5,0,13,MIA,0,1,Marcus Thornton,G,2,0,WAS,0,1
16647,29-197,2,0,2016-12-19,0,1,1,1.000,1,0,.000,1,.500,2,0,,0,@,L,2.0,0,16,IND,0,1,Marcus Thornton,G,2,0,WAS,0,0
16648,22-128,0,0,2017-02-15,1,1,1,.333,3,0,,0,.333,3,0,,0,@,L,1.2,0,11,TOR,2,2,Mike Tobey,C,2,0,CHO,0,3
16649,31-148,0,0,2016-10-27,0,0,0,,0,0,.000,2,.000,2,2,1.000,2,,L,-1.8,0,15,SAS,0,1,Anthony Tolliver,F-C,2,0,SAC,2,0
16650,31-237,1,1,2016-12-28,2,1,1,1.000,1,0,.000,2,.333,3,0,,0,@,L,1.3,1,16,SAS,0,0,P.J. Tucker,F,2,2,PHO,3,2
